"ADMIN_SIGNUP_STEP_EMEMSUB_PLUGIN_SIGNUP_SUBSCRIPTION";"Enable Membership Subscription Plans"
"Confirm Subscription";"Confirm Subscription"
"You are about to subscribe to the plan: ";"You are about to subscribe to the plan: "
"Are you sure you want to do this? You ";"Are you sure you want to do this? You "
"will be charged: %1$s";"will be charged: %1$s"
"If yes, click the button below and you ";"If yes, click the button below and you "
"will be taken to a payment page. When you have completed your ";"will be taken to a payment page. When you have completed your "
"payment, please remember to click the button that takes you back ";"payment, please remember to click the button that takes you back "
"to our site.";"to our site."
"Please note that no refund will be ";"Please note that no refund will be "
"provided for any unused portion of your current plan.";"provided for any unused portion of your current plan."
"cancel";"cancel"
"Subscriptions are not required for ";"Subscriptions are not required for "
"SNS - Membership Subscription Pricing Table & Plan Layout Plugin";"SNS - Membership Subscription Pricing Table & Plan Layout Plugin"
"Subscription";"Subscription"
"The plan you are currently subscribed ";"The plan you are currently subscribed "
"to is: %1$s";"to is: %1$s"
"You are currently paying: %1$s";"You are currently paying: %1$s"
"If you would like to change your ";"If you would like to change your "
"subscription, please select an option below.";"subscription, please select an option below."
"You have not yet selected a ";"You have not yet selected a "
"subscription plan. Please choose one now below.";"subscription plan. Please choose one now below."
"Subscription Plan";"Subscription Plan"
"Please select a subscription plan from the list below.";"Please select a subscription plan from the list below."

